pid,question,preChatQuestion,preChatResponse,preChatDomain,postChatQuestion,postChatResponse,postChatDomain,predictShared,matchType,matchedDomain,matchedIdx,matchedQuestion,matchedTolerance,experiment,groupId,partner_response,perceivedFocalResponse,observedResponse,question_type,is_matched,participant_binary_prediction,match_type,stance,srgiResponse
55a75835fdf99b26395fae40,1,Do you exercise regularly?,4,arbitrary,your partner exercises regularly?,3,arbitrary,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,same_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,2,Do you enjoy being outdoors?,3,arbitrary,your partner enjoys being outdoors?,3,arbitrary,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,4.0,1,,same_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,3,Do you work from home?,1,arbitrary,your partner works from home?,2,arbitrary,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,4.0,1,,same_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,4,Do you go out on weekdays?,2,arbitrary,your partner goes out on weekdays?,1,arbitrary,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,2.0,1,,observed,True,1,high,shared,6.0
55a75835fdf99b26395fae40,5,Do you eat breakfast?,2,arbitrary,your partner eats breakfast?,4,arbitrary,0,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,same_domain,False,0,high,shared,6.0
55a75835fdf99b26395fae40,6,Have you stayed in the same place for your entire life?,2,background,your partner has stayed in the same place for your entire life?,3,background,0,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,1.0,1,,different_domain,False,0,high,shared,6.0
55a75835fdf99b26395fae40,7,Did you or your family immigrate to a new country?,1,background,your partner or their family immigrated to a new country?,3,background,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,2.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,8,Do you enjoy spending time with your family?,5,background,your partner enjoys spending time with their family?,5,background,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,4.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,9,Do you live in a city?,5,background,your partner lives in a city?,5,background,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,10,Do you live in a warm climate?,4,background,your partner lives in a warm climate?,3,background,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,4.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,11,Are you a parent or caregiver?,1,identity,your partner is a parent or caregiver?,3,identity,0,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,1.0,1,,different_domain,False,0,high,shared,6.0
55a75835fdf99b26395fae40,12,Do you identify as the gender which you were assigned at birth?,5,identity,your partner identifies as the gender they were assigned at birth?,4,identity,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,13,Do you identify as heterosexual?,5,identity,your partner identifies as heterosexual?,4,identity,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,14,Do you feel like an outsider in your local community?,3,identity,your partner feels like an outsider in their local community?,3,identity,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,2.0,1,,different_domain,False,1,high,shared,6.0
55a75835fdf99b26395fae40,15,Are you married or dating someone?,1,identity,your partner is married or dating someone?,4,identity,0,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,5.0,1,,different_domain,False,0,high,shared,6.0
55a75835fdf99b26395fae40,16,Can stealing ever be justified?,4,morality,your partner believes stealing can be justified?,4,morality,1,high,arbitrary,4,Do you go out on weekdays?,0,chat,professional-amaranth,4.0,1,,different_domain,False,1,high,shared,6.0
